Timestamp,Total Count,Male Count,Female Count
2026-03-06 11:02:16,0,0,0
2026-03-06 11:02:17,3,0,3
2026-03-06 11:02:19,2,0,2
2026-03-06 11:02:21,3,0,3
2026-03-06 11:02:22,2,0,2
2026-03-06 11:02:24,2,0,2
2026-03-06 11:02:25,2,0,2
2026-03-06 11:02:27,2,0,2
2026-03-06 11:02:29,2,0,2
2026-03-06 11:02:30,1,0,1
2026-03-06 11:02:32,1,0,1
2026-03-06 11:02:33,2,0,2
2026-03-06 11:02:35,2,0,2
2026-03-06 11:02:37,2,0,2
2026-03-06 11:02:38,2,1,1
2026-03-06 11:02:40,2,0,2
2026-03-06 11:02:41,2,0,2
2026-03-06 11:02:43,2,2,0
2026-03-06 11:02:44,2,1,1
